,median_house_value
15293,329376.00371830974
18884,147678.10878065255
6641,170236.54933811194
4388,174231.13254924252
19854,64607.30990866229
18247,201725.2573432473
4914,131930.03634714018
1901,103454.90188086407
13017,165312.884622604
15907,334148.4059949804
13570,127953.62998897169
9466,88630.26469251438
19151,162605.9476451135
5826,256792.01131664275
13915,76316.16502981086
10559,242398.46166291766
14366,260692.13834375513
5477,304461.6294235635
8981,266632.01141324965
4954,173689.6976192721
15757,384238.0375381192
11735,118967.10278219437
3210,68475.46202267197
16950,445787.2571256895
8632,495264.02935772925
5207,176559.3717968235
8591,305594.42740199436
8198,307704.5834922773
11903,106867.30128957343
6512,179858.88901478212
474,140884.85583272367
10199,163117.74855468134
7723,227966.86718714208
14816,362069.2170399018
14733,189291.01764755682
14657,192929.81571197486
12988,158754.16028227826
20565,110007.14155294752
19296,202466.6512215576
4475,159252.1567044853
1290,136959.57753632276
12425,66323.04484819331
20450,276642.0114766375
7149,182376.2546524253
13449,126257.43451001275
5226,114223.83836914359
15021,149822.9574764907
17353,234246.8530045677
18169,244735.5667322197
408,382855.7308736416
7655,238200.9449962295
9665,100423.81744420985
5357,403886.6314230507
7387,138660.86356015992
13175,191276.20432921508
15242,419126.806938445
13651,103203.98401642597
17108,496706.3799561957
385,198291.3093949003
6887,189256.95322905746
7101,194759.46891088027
15002,138963.5970470185
11532,138216.2502615397
18872,280865.217435358
1034,136261.33549220552
11986,117106.3309252555
13530,191133.89428066107
4463,154340.66903531083
20347,240725.57345072477
13112,122329.65177733311
18886,180434.4228425687
14808,253231.9189626202
20349,347122.5801133188
971,339525.9762449836
13338,158719.6770749921
17881,301433.7853653253
11517,457760.97111841745
6243,193710.14587657378
3015,99497.6296328764
14664,167927.32070783182
5802,128958.9879209978
4417,164031.06608455032
16341,97409.28161037502
8291,293052.14370361203
1166,75159.66021594449
17884,279695.1166156836
15055,176962.5729811508
9070,102101.62078343205
1201,87030.11091506336
8574,453724.9672309617
14847,130159.47863136603
16251,105175.67228909692
17042,453033.761566071
4577,160096.29590461872
2501,80112.66096289622
2859,244202.12629457857
10275,192926.39546847506
7247,182290.65495915347
3682,246519.99326043492
11055,216158.44034530484
20168,290421.25349730556
8875,499922.5105899988
7794,187904.68415183082
9264,102141.55664900744
12375,163973.91531557628
11997,168742.5296140899
9960,365690.89647573046
18605,274161.330255666
20171,288539.2654215836
6649,174479.56487163316
10796,423123.35475201113
15608,220500.15259227663
7346,182408.46558771518
13377,213254.36384773385
12281,103687.73696567611
1911,135977.6346692645
6951,177335.00293631628
16495,116954.47002173055
18680,274162.1102963041
17011,332481.3677424073
11370,194781.70012787677
2140,84178.98272743546
1692,334959.3392826366
14966,123604.32228166296
2754,65490.67617142723
19553,91066.27983021097
3481,476217.3253700869
1457,234780.92653264757
2698,66385.05168971891
13888,86603.12885835765
7983,195297.61872647933
3964,235812.98586458544
20586,101459.94114911831
16872,396138.5859460476
16956,338930.1268398897
14459,487136.0916958318
803,202430.29096141894
20355,200473.89550444242
10217,179015.83045934164
5116,129760.13012567889
9992,101888.27103068274
8395,311289.09179149545
18534,238683.48780617546
2797,102196.08340742294
11218,212545.890912732
8610,308539.0404488993
14649,196429.62527878955
9854,427498.05865563697
10476,255279.75906663414
5711,209142.80027764887
13206,137117.57119358194
5107,192082.51373217098
7030,197596.6382339393
8460,272652.9317546742
17148,455988.1945612876
17965,252299.19923454346
9002,270875.21312008286
17841,209379.89002049252
19167,161546.13087668034
9243,78134.9754434867
2559,73094.79900783721
18674,274976.43968840456
11678,228747.00351210457
6933,192281.63393665015
9042,215531.74546597042
19688,90092.16196092723
12868,157667.90518687625
3984,294370.6992768358
11037,491539.43449035415
5601,213356.78516018682
13445,119519.26597110677
16169,264267.73081520194
8843,283371.3549622253
19855,75379.41346794741
7434,154479.27435474022
14763,103315.73362603545
11617,192320.6283466854
11217,198124.16165708826
7497,128979.97735705518
4985,179348.49180260577
16424,110397.42945473996
14513,200711.05311758205
7439,146497.3210945545
4678,499997.89374503755
10806,258477.02478947197
4148,162632.71843228492
5815,147783.95805147814
15806,380370.4649072349
16040,267385.5634873014
7014,191945.6253541069
6866,183301.49904826525
18536,238683.48780617546
1870,89110.65190290721
3572,481023.0236748407
7256,207361.41455883917
19572,98024.21450137744
3739,243404.7851310846
351,137921.8644190473
10743,487930.206926225
6472,194956.99466513577
15062,153256.6387250638
12973,160996.2065565763
3941,245615.36605004882
4115,306001.5601071736
3366,124923.59838015588
9022,411516.2131401656
7438,156333.92656296273
13003,110177.9131047348
12896,144985.14046162157
1642,201221.2587324261
20089,111689.6569488177
18505,449093.11839254084
8344,276519.3842269881
4219,233141.61703128472
1713,210662.9358544415
8785,247852.01782240986
17306,283706.25137501134
19558,112394.25552581417
3820,295502.5612023898
11581,269246.1798080379
4484,143618.87922516043
14734,171321.4778355098
119,287183.65507354366
18018,274364.94016557885
16497,112609.40728861229
3711,276788.5006258199
3901,255249.55770348766
20149,239951.90853561915
7495,164883.1892177304
8673,321608.67629496945
14548,383732.6021543094
1077,120153.62486088842
11688,179687.76061644082
3474,391852.75109207234
11915,121088.18407468696
2189,110259.41642242979
936,269599.68292264844
17038,342268.35607972665
5900,209507.28589018277
18294,436006.98958003946
1182,114999.34333721948
606,181870.37449331384
17466,313619.4889105186
4720,277070.445095449
6285,221738.00518265442
7071,234220.22541222244
20635,92258.99771042004
19516,91262.86316354432
1599,442140.7178957146
6149,154062.7701055844
12164,132956.76594065008
12827,141035.092437365
11799,159058.9661814713
11716,173862.07150013643
19275,245967.59077566306
12273,99979.97459914151
208,132759.6118417833
13375,215420.12776467323
13416,150480.43643022806
14274,98752.9184562582
19745,121466.15863336003
4104,298436.47580100247
14146,134195.27758368428
1788,100212.32032390463
2174,69798.51399806737
8393,252971.4678981619
3335,71620.61914836618
1427,238103.34932002242
3503,257359.22830245542
4741,216427.44869706035
17013,298108.26406955
13143,111644.00277112011
15144,165599.05111054587
9875,175369.05438665167
8139,239032.5458999094
8410,205662.4863320194
5379,269689.4162865892
3045,98497.71578782852
12299,90980.58481389529
11863,132447.00374397705
2235,59468.38327313052
5468,296994.95001872757
2267,58968.32112269972
15227,351606.7672652554
9300,339056.36975447705
5394,223868.68509504024
1504,274275.13976534153
503,181657.33956427537
17997,279824.7951336586
1272,182626.74283789302
2602,83767.13356656772
6779,221897.0631842333
18926,340468.72391351144
18514,235849.0974753129
8137,258065.34016930778
5348,330561.3777941615
16614,264339.02974697645
13005,144451.66466596967
14945,191791.42369483068
10475,309485.71744940424
8639,473223.43990138086
14515,190536.35186074287
15044,332579.4232393597
3668,241007.65089864266
14020,251114.3798719389
13506,83816.0864959534
15898,229660.81522929017
8599,303944.3756152424
13526,148320.74600808218
7948,230539.71117307455
4518,142808.75775101752
20311,198314.65322995585
5963,188396.70175584283
6128,149667.77385249268
18754,71610.43529762521
3125,108840.78486202126
17248,273718.47528629855
3698,217635.6801018051
323,101889.9113537449
5683,239774.85994132896
17573,197165.37066559197
3489,271126.4926487679
15893,224972.33241857777
14736,263388.56184850744
9039,168061.64342426174
11615,193731.9936172963
18752,72161.09950227654
828,283181.1162780216
17180,404599.7474384712
3922,271282.25680547225
13105,188089.67612071923
10630,237184.24601202938
18051,410850.70213491126
17452,260141.90680909433
4074,499600.3964179321
8149,249347.92441613457
19648,116713.05790732673
12399,128244.34881587334
15930,368785.88977910177
5998,133600.80852971354
14835,89998.96049751932
16459,149010.69673367677
16975,296415.23521462205
2766,76783.47969578365
1807,127550.01563734422
2848,100453.14266115139
12255,109901.82919225682
15731,381776.87198893423
6717,252360.75621121604
7733,224717.635801844
14814,250496.159509473
7048,162183.0993453121
2041,197447.0624055697
1393,340977.31161031796
10508,274244.49819051643
18120,252917.84740630086
12194,155415.13982642692
1530,345924.57737863786
2893,54981.70455438869
3703,270579.7141259808
34,174393.28160634008
4966,149195.970544203
3113,154964.71892961842
20633,102898.73574140774
10107,194810.23365300227
18506,240820.92705507125
15911,333266.3795793744
10158,354376.061267092
8585,495882.440494358
14467,486264.2287364414
11715,128308.49935790067
16638,258147.228530745
5687,403889.99362306716
11552,181229.29556891174
720,174703.33079739683
9536,111610.29343981936
1398,235077.64990340173
2467,74210.6063543958
7580,141833.97204310718
11464,194759.46891088027
218,161956.2494735591
2020,56007.57918178113
20493,294739.55465231626
2305,130974.99586538809
9071,87724.47878148759
4445,138102.5840329753
1535,410523.4367168972
2300,98363.85273573628
7949,270329.8716618042
8164,226529.11979295142
15134,158531.41979985667
2638,75726.23169160107
6231,256340.691981332
16560,161247.1369162914
15766,351206.73080423573
8908,331567.3090193801
20009,70995.69033726117
438,168880.809943628
6271,177052.04925624238
9664,86028.24893054468
960,288582.76846508606
8731,256279.0780089005
8342,258024.2790225885
6320,213936.16982701316
10156,228667.1099074349
8552,216478.01568475552
16381,111243.54275909325
10115,299817.4843502516
8977,242219.5199202636
6723,222663.5043607039
14012,215715.09062167082
8852,499997.89374503755
5503,230437.00348790307
7046,211727.320363764
17583,261778.27289718372
14483,456352.42015008605
520,289901.97652346344
18312,307608.0222790843
4398,201228.69815331063
5050,225155.3168181991
2265,77413.61772334158
14854,122382.46115608192
10657,296966.1908587739
19057,165644.96345266173
16113,282234.2076608997
16709,161109.39262632898
16274,96457.45857249854
10315,254089.148393638
12811,157332.1264868262
11243,198934.88250559178
2084,75829.66406974998
5888,259674.78371133257
6405,255184.88844089108
16557,110062.42616332295
2388,97401.39889002823
16817,303458.318413211
20207,268355.41111037944
5225,110699.09815680597
8510,229698.81486970076
18729,101248.55354432866
13460,105143.15763729587
9049,174960.72948336788
14441,262375.924617152
7582,144084.56300310648
20554,121485.33403698879
3386,209948.42054805727
9862,169896.93163056264
18230,201511.49822081628
7781,193589.37184798598
10388,324554.9935958298
16291,91817.25891556649
6687,234150.1277167295
1052,134305.80892307105
3208,60187.23311815285
13027,146837.3651922146
18774,85726.04931019658
1433,238829.41726449065
15458,306317.79823603353
5735,166366.2678294981
10727,490955.65565702075
7571,144124.28124261706
12047,126678.82535230782
12944,170745.66899626848
13775,108378.45324966147
1027,124929.7423511203
11414,359647.61024411616
10726,486887.9115507063
15603,160271.50679955288
19551,94070.63741698823
10927,185653.3144018077
9016,418105.25131804234
3488,380815.41832484934
20364,292200.1264209535
18163,359980.36194125033
11237,210523.1583866569
10406,251851.79169912313
12378,80255.74092724218
2885,55278.181993289174
11355,195714.4198788226
17691,222223.08489796089
18865,188282.61620225664
8116,241159.42300388098
9760,143209.49482043844
12604,83409.02569706335
8246,204658.74165972858
6357,151890.4900076761
5350,368709.3450045491
313,147004.07746421156
4024,264481.9099363113
18485,180217.08989410332
11058,175205.1036297446
3699,242352.27616506565
3473,405202.13709573547
9771,191245.5034238294
15336,277508.97451514076
3910,251071.49785363558
5106,228979.74716852795
17152,365854.3856639883
7040,192837.43002244458
15543,380687.9905646888
16856,264284.1722507394
11967,94456.70581718598
1730,155638.52237358305
5727,207335.53312052164
13047,110177.9131047348
18318,298206.79043452005
16256,106385.22799590178
4069,413498.1772705338
812,201097.8438482386
18808,114450.34067684563
20212,299095.8961520634
9192,199817.41184402202
14744,138603.86839785342
17617,240525.9540131902
19770,87691.71551888423
20014,89059.885297838
15621,342685.1077572732
16579,128452.07093964735
2485,124172.2825641316
4293,195284.8579811139
6355,149311.35591337658
18288,452679.9076496239
3353,94576.73076500876
9125,211540.87071480567
9790,252929.76061213407
7159,156588.2943047747
17898,198475.38129948362
6427,151044.85689494776
7911,192482.84300652417
20556,122347.5277948029
16957,451107.7391608237
1297,184779.2849191035
5426,272994.0983035125
14784,150687.41940555497
12705,115536.64685509831
19030,207361.51189585484
16510,141310.39728556018
19676,110831.73451366815
8765,433935.36720608594
15501,286343.628864407
10381,210943.2954650278
3393,315176.60217170184
127,306503.8954631461
14864,139031.3873241801
12204,184343.6142379599
11827,159035.4226482974
5742,149065.19725934815
7471,145282.1277783553
718,177190.8706509968
13473,164484.72885766302
9415,353373.23582720855
20403,290904.4178838338
13539,85336.66399270162
856,285786.8270124384
20494,299797.0224715529
3950,284673.8836409438
2516,103573.80421662757
17753,194442.81522664454
15618,368647.60198219225
1087,92001.85182151724
3843,219690.16134109604
5934,199955.2044221449
8425,248936.30094018995
9226,100893.132844593
2393,130434.49362696853
20290,230762.4233180017
14181,138018.6267710128
1328,124772.88338218954
13771,148986.5758169931
5391,287325.89298649813
15809,366678.33510262525
12310,117056.30549803258
10678,228408.57436696612
16739,378993.2453059921
14095,91686.02404074837
9224,85724.73605589401
20334,247145.50543084365
12872,128533.03772716163
13443,107678.32554491432
10890,206784.3065925242
14615,213783.98905614894
11497,467360.345458197
9060,180788.66802862007
9398,451116.7593029213
980,185599.25489687198
17032,339259.08149305946
19173,194697.197220839
5217,205382.0400037416
3018,78559.45957262706
10786,236153.55305226758
19076,209006.81135094655
3635,292955.4661241105
19897,56081.288652385796
16627,252533.2145858174
2712,65555.22763341553
6187,205844.2589565591
16979,339911.7192775175
14751,165166.96640035295
6920,169137.66628201748
3669,189857.00670088956
11686,195729.30289425046
16558,107225.87859148381
18510,273755.53494886804
3887,250911.76466506603
11119,212428.33709712894
12113,149838.08372697208
15330,173715.90053989337
15840,365863.7059103632
6143,155009.9220191716
9250,145625.65566410086
8066,298402.8002740363
6077,212726.08546092655
4106,493746.5348709681
133,364540.83665308997
1006,144901.03527856522
6164,188772.45782386902
12495,86233.7789775718
3184,66822.38141506203
13938,150027.72184329043
4202,178683.53233306643
5337,288485.70044510067
9839,276402.76950530906
2796,105302.48914443722
10545,214650.99005560865
18269,491023.383967479
7870,187922.1956830454
17981,242144.67567804258
14090,134236.796466286
14914,145804.99303524566
8309,393192.0845667281
2533,96278.59430101154
5203,167333.05377317444
19691,103400.63032968828
2937,54383.92779613731
6293,198364.68875815108
8453,212871.0691709381
5853,265262.50406210066
451,146925.6935715661
6896,219160.8489843108
8810,383386.3395934131
12928,129109.14970587227
7365,158636.79913554303
20414,233554.24751400965
11545,238253.01956468952
6682,208913.33138361058
4375,178054.7922669234
7724,251350.03306083617
18498,150513.99726237694
1815,197009.59896441692
5948,257919.91925981225
2483,80112.66096289622
3375,209573.3421257415
16252,89400.40066900251
11266,198301.4123818143
16080,286698.1758987414
7639,241684.65997765545
5547,357136.3174981754
3455,381328.7322098823
6385,237641.78012247794
12389,169745.22388669458
1288,163456.94725015727
3886,246698.6296386334
2781,71901.18207676712
18115,342725.31737989985
5511,312983.27014954225
6433,198244.67666472332
8108,162474.35732641176
10101,267572.47128857457
1981,218531.99178948038
17643,277265.77847729734
15135,170038.11732418378
19317,138567.21009414888
4160,146788.2081532713
2177,81571.5233325825
3634,258727.35333714754
5770,203520.92267311906
7883,217465.49354302738
12964,155496.94947881237
13541,117578.04384057465
18735,97498.41244354649
15754,357091.23392734444
8087,303958.1863199517
16180,80895.81193538928
5836,206549.92455025346
2238,143438.96673688173
5954,157370.16502763104
4269,198490.58926928177
3508,290132.2953354894
9577,125365.6440964662
12398,120478.81237783823
484,146925.6935715661
10957,176416.18990492396
15888,228663.54022929017
6399,487173.0882412612
20140,283773.60169889545
7524,143441.13236784862
9276,313567.8335708078
5764,183588.96127157987
1719,258917.75755795446
19323,117230.35960504672
6210,179123.73601102963
11038,494237.3175580193
2751,65968.05518422354
447,194679.0359019084
19986,70390.80684386221
14261,90671.54717510355
9961,314621.0211584161
9229,113374.10541736573
14374,308049.95421653363
12072,150938.1150848366
3222,71334.98284446991
16246,109874.22968942493
16426,89705.96149598534
16196,122188.1745695823
11610,365923.36550046364
7775,191752.27699541085
8654,324497.84989472816
9786,192667.14876079003
10311,387118.4446601863
17972,223729.83360344957
18700,105858.69104757185
180,160750.92844500032
8279,276846.1269641245
9390,337247.4902997458
8778,225044.285108582
13974,110957.17510575468
251,128736.81977014735
10548,251600.9018076747
1512,258191.4417544822
17516,279824.7951336586
19748,163942.963002127
9831,283184.3333029307
2864,97980.03496606188
9543,91493.73684470187
8407,189002.3984427097
12885,110663.58010409061
3752,238217.55725094466
17134,297899.328381323
10984,242582.80850005854
8058,234455.56504333563
10690,101149.80476531532
13035,115936.99092439449
1527,266371.36356755684
1337,181863.53229829558
13302,131587.0806244141
688,179574.46117838548
10007,133162.98039871306
12269,105530.91808613954
5250,499929.4500556653
14777,142255.63979873474
17158,498098.8050097036
10581,324204.4246697791
13829,115977.83110453602
8739,254776.75985790454
7621,219603.94287856497
14612,202240.59030503157
20058,56081.288652385796
19026,209241.77909823356
20463,277379.1734285086
15014,134343.71562473112
4285,175512.2244471913
6868,169628.9004243675
20453,232756.39870366125
18421,197853.77325999728
16108,282124.7128201273
9234,93829.84041358909
14796,117105.55326066563
12850,110397.42945473996
15841,336150.5139766317
4230,203374.84495569888
10590,259605.45166317385
10289,307427.84053840354
7175,147153.74627619513
8156,218481.4468327545
409,478936.5727309814
19300,192145.32372181478
9358,388309.0311910662
8379,279776.85436541325
18620,325404.92561231955
2519,117121.53041347713
13827,118455.26081612855
9143,184721.83813138347
10129,263061.6414771798
2457,94587.44851707536
7223,154485.01211602998
4045,499908.80175126554
18609,269451.00118962576
4189,187913.63114918515
12055,116958.83148022815
9861,198590.36748705636
6206,362832.142829969
14975,147735.33517120502
10279,222722.53666912924
4199,115990.73555911411
17577,240769.88888257268
7809,210032.57952991343
19239,288357.62917470234
14766,148175.7684709269
866,271610.7505929102
16071,283097.7030787561
11290,202704.94897801345
17854,472290.9367910144
12514,109621.80056486482
3525,258488.53295125676
993,244101.2504894748
5117,136514.78527805474
6162,195688.92554343893
12701,90571.23940808505
4345,499929.4500556653
17376,135596.23967501606
4194,218569.06003540027
9098,161025.18765619918
9887,137893.33766055462
14518,184890.9836063385
3615,293259.58654115885
8010,230756.68659338582
4400,174605.33992242135
4034,407975.8154564598
1632,379891.7522686182
17788,223091.4467387471
15637,303857.8472409269
9674,137042.45152738751
14980,129029.6855656435
2450,67846.67139133488
14352,215040.1011872423
3826,232015.23459403106
11040,430851.3776829764
8350,268407.6190609977
326,103337.72874076033
8242,163401.04747241858
12795,83622.88284021146
7877,199977.66997710065
5716,200703.92704103678
9511,132039.81682094085
12998,224238.26580044854
13762,108378.45324966147
18104,291015.70674352883
4540,145168.70138320103
9586,105955.4790838796
7752,172486.27935852937
17681,194729.9722351722
16357,107415.27308657514
13818,109261.64749232715
2981,67175.7802294406
18148,432187.00885790476
13129,88854.73879009832
322,103280.60154862022
17519,196849.87604028117
7780,175215.23178076185
19484,109414.26971021395
1554,397632.42539235635
383,143932.53467475227
8396,202202.65655470692
18806,108258.23959706962
1768,152687.05517081506
12221,112399.30841117949
15247,217792.9790223633
6258,180904.01643144543
13072,105361.73517937347
19015,145326.30881905602
10323,368140.66905111953
9975,120585.12721673594
17329,349552.88568651857
3002,78910.57575340565
2546,70707.40729838154
8972,317738.10282506264
14110,119286.18932695575
4605,499997.89374503755
4371,251696.24686825223
12933,171316.2195789597
7139,183301.49904826525
6490,178512.8060236061
13094,85927.14636351423
17741,341613.774566659
5610,162019.11662288307
6216,196969.03525828174
9191,302587.3025717491
3844,211446.80256583626
1355,124259.85641696543
2583,88208.04423123384
8944,328296.24935642077
14560,259512.2357366386
12929,197188.74809772277
16045,274691.65871021023
15249,283540.47622477676
3509,307691.91729443084
5076,180369.61278093822
12630,108580.02914568437
7425,142768.45829029544
2214,325159.23392384086
2326,60855.708780916946
4977,148281.86828118656
16183,84498.64042825463
9213,124853.81631609393
10157,287742.01953328087
2319,70733.22153201108
15426,262528.9834242671
9172,151812.374074511
8626,395886.6527681862
18103,375949.328313499
10337,271267.33899685816
4634,185145.95956178554
14961,199114.24881825547
15977,381031.1085389219
16301,190837.40407246814
4546,141596.11212119847
6631,156342.7632531992
18236,200789.28721591854
20115,105514.07005884037
9194,99336.76711298627
3350,93459.01655820027
4252,259072.2880877702
15341,300459.8788782017
9876,165439.45861969347
15378,195773.67433913262
17150,364324.20579723
16891,404394.73671491054
16466,145697.65936522855
14418,239608.33961521863
2505,107783.5456250854
31,141394.33055385938
14858,127152.3660923377
11622,277697.86862975406
7854,168521.10419810962
20510,84560.5065235186
15652,268739.7538951284
5043,166534.0770993751
10574,208997.8815697034
20192,207010.8722244216
16296,105316.84903702307
12522,89497.34225132137
4896,129175.24480602938
20303,286224.11799953354
13993,123598.25402056916
2714,73850.75405312628
12571,104267.96247293382
6478,232651.27627840012
4044,497042.02896147483
2641,101872.557839696
16434,259033.99414333564
14311,97778.95807207681
3248,64476.98898467422
247,153912.45883463442
2346,114160.54268506553
14704,193524.12961105164
7353,172379.67355739095
12371,309019.65176311193
655,175396.54892110176
10991,264081.4292362185
19731,75670.36598158267
6695,175107.23816902924
11733,112169.67674656943
10030,101706.3716556217
8255,205086.91503045562
11081,202910.73081262878
6599,163233.84264921022
2752,65995.53107502466
18771,70003.74695873358
2026,56755.57401929705
17853,272175.667567025
928,364533.4162800966
19206,155511.78627678583
10274,175956.43378165035
3295,71321.29552820258
6087,199496.19443982164
7026,188188.7583286297
14340,218846.18666374046
3142,97294.238138601
14314,141437.7540388574
3643,315400.969938607
12008,167825.92788622886
17865,364095.87303648243
18136,281535.9512188017
12735,222365.8316062198
12076,132823.68032615606
11921,109781.40469660643
115,202252.336539047
6769,228553.02925838987
3821,294687.1387695668
6517,177957.3611774015
1968,164273.6590239429
15964,385436.2374290528
11823,114123.05111069052
18979,116147.50100937241
12911,222393.03268587825
17502,195034.86470558125
17199,388792.30066897126
6844,183004.96523474366
18192,241089.6551311001
2408,70633.9381002303
12579,86295.68548361436
4048,491771.14709145075
18239,190878.66342958226
5685,380825.58940346906
9938,267123.0245670593
16787,357680.5462545546
10746,218442.10530870498
9728,247219.35468888204
13453,122961.86212178101
2585,99740.15234647604
6650,185019.53441224378
18021,279377.85051848117
16107,267506.3968525241
12053,106814.75239403974
14372,385628.8256890378
11129,189397.53095197587
17035,302890.29656764213
1572,255906.48478398498
3011,99802.80860783186
5047,395055.62681192183
5866,281406.8279063493
10901,186142.20301635645
9955,227617.65427536983
12181,122308.38025019575
19088,207558.69317957544
16577,121226.03402999863
16931,303698.5090088135
5352,499582.5229889205
19466,133469.6709146531
2386,76026.37724254491
4974,129322.35337286557
10902,177509.87369323324
12517,91623.14608005782
19145,163077.00649305552
1611,203702.70318459815
2043,114160.54268506553
20419,337502.72178763687
1147,90191.87597963454
3978,265059.3381496763
19249,158524.28452016544
4049,463395.4543941429
8935,326989.7080246429
5971,142716.35725245232
16588,84871.36353604514
12326,133295.21021878393
18078,499281.5884802714
16218,143288.91019846368
4548,351124.41012931353
1346,214840.46857434907
5702,267329.06600921444
12220,317245.2556776398
15481,198165.41225644294
18028,250551.91827012596
18622,286386.25022315857
16491,140566.3007566569
15238,296724.78855987237
10208,265155.1861567206
7808,205165.87343227275
4609,164403.45151253563
11843,117192.94884901828
9966,251792.56870782323
11289,222423.6305353208
12557,89497.34225132137
6925,186296.522076282
14503,196166.42527878954
9859,181688.89817242898
7649,244503.31791957477
4547,186566.68528816837
4343,182369.76945895108
15289,275623.6109364375
2141,75941.84337653648
11103,207751.94818576652
2458,97508.51082271562
17020,340456.3183339848
7717,217799.7825775579
18380,473291.6128034264
17731,242288.73560696797
